Aubergenville,48.958607,1.845782
Carangola,-20.7314751,-42.0299263
San Felipe,19.8022278,-98.7067059
Gelsenkirchen,51.4964248,7.1215271
Trambalan,-6.7597,111.3245
Gujiang,31.138677,120.645158
Marihatag,8.7833709,126.3020575
Sayang Lauq,-8.5694,116.1325
Wufeng,30.199688,110.674706
Šabac,44.7488612,19.6907882
Dashtavan,40.1014047,44.3906123
Sali,43.9375282,15.162899
Honkajoki,62.1588835,22.2669813
Zama,35.4889372,139.3909552
Roboré,-18.3349525,-59.7602664
Ban Thaen,16.3793702,102.3692982
Maranganí,-14.3568964,-71.1693594
Alegre,-20.6869406,-41.4812771
Yelenendorf,40.5895257,46.3271378
Cibitung,-6.2335134,107.1071
Nova Varoš,43.4676913,19.8125507
Brusyliv,50.2875742,29.5094362
Nzega,-4.3920698,32.8986812
Los Angeles,33.9744806,-118.4177707
Montaigu,48.1779574,-1.7555399
Ar Riqāb,34.866667,9.783333
Akankpa,5.1079431,8.1789301
Tomdibuloq,41.7593853,64.6273531
Krajan,-7.5450262,111.6556388
Shangrao,28.454862,117.943433
Fengcun,23.0886013,113.2446381
Yingchuan,38.487193,106.230908
Madrid,40.4563733,-3.6952896
Guiniculalay,7.65611,123.39139
Los Andes,1.5156,-77.49498
Dingle,10.9991938,122.6717828
Cliza,-17.5952979,-65.9393064
Markaz Bilād aţ Ţa‘ām,14.83361,43.53639
Far‘ūn,32.28548,35.021481
Tanggan,32.584328,111.948474
Sansheng,23.561556,101.273161
Atalaia,-23.1157079,-52.0851258
Placetas,22.3179093,-79.6558242
Sumuran,1.480524,99.0267076
Mubi,10.2603809,13.2605763
Yuankeng,27.657593,114.709713
Sipocot,13.7643349,122.9760543
Pehuajó,-31.4422483,-64.1511226
Buliran,14.6012872,121.182326
Solna,59.3525393,18.0191452
Vorontsovka,46.6522807,38.0818378
Wetzlar,50.5487974,8.5763725
Fier,40.727504,19.5627596
Viso,-34.5006776,-58.8072561
